ID,Homework: Fundamentals (690331),Homework: Recursion (711087),Homework: Generators (712610),Homework: Classes (713464),Homework: Classes and Lists (714905),Homework: Composition (715374),Homework: Stacks and Queues (690337),Midterm,Homework: Mathematical Expressions (690340),Homework: Mathematical Expressions as Classes (690334),Homework: Mathematical Expressions with Class Inheritance (690335),Homework: Graphs (690333),Homework: Task Scheduling with Dependencies (690339),Final Exam
55,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,70.73170731707317,112.5,100.0,33.33333333333333,100.0,100.0,59.45945945945946
56,100.0,100.0,120.0,100.0,100.0,100.0,100.0,97.5609756097561,100.0,0.0,100.0,100.0,66.66666666666666,83.78378378378379
57,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,85.36585365853658,112.5,100.0,100.0,100.0,100.0,86.48648648648648
58,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,82.19512195121952,112.5,100.0,100.0,100.0,100.0,54.054054054054056
59,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,97.5609756097561,112.5,100.0,100.0,100.0,100.0,86.48648648648648
60,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,92.6829268292683,112.5,100.0,100.0,100.0,100.0,64.86486486486487
61,100.0,125.0,120.0,100.0,128.57142857142858,100.0,87.5,92.6829268292683,112.5,100.0,100.0,100.0,100.0,81.08108108108108
62,100.0,125.0,0.0,100.0,128.57142857142858,100.0,100.0,78.04878048780488,112.5,100.0,100.0,100.0,100.0,78.37837837837837
63,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,74.39024390243902,112.5,100.0,100.0,100.0,100.0,78.37837837837837
64,100.0,125.0,120.0,100.0,100.0,100.0,100.0,65.85365853658537,100.0,100.0,100.0,100.0,100.0,72.97297297297297
65,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,65.85365853658537,112.5,100.0,100.0,100.0,100.0,70.27027027027027
66,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,102.4390243902439,112.5,100.0,100.0,100.0,100.0,78.37837837837837
67,100.0,100.0,0.0,100.0,128.57142857142858,100.0,100.0,63.170731707317074,112.5,100.0,100.0,100.0,100.0,40.54054054054054
68,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,60.97560975609756,112.5,100.0,100.0,100.0,100.0,78.37837837837837
69,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,112.5,100.0,0.0,75.0,66.66666666666666,81.08108108108108
70,100.0,125.0,120.0,100.0,100.0,100.0,100.0,78.04878048780488,112.5,100.0,100.0,100.0,100.0,64.86486486486487
71,100.0,125.0,120.0,100.0,114.28571428571428,100.0,100.0,65.85365853658537,100.0,80.0,100.0,100.0,100.0,48.64864864864865
72,100.0,125.0,120.0,100.0,114.28571428571428,100.0,100.0,80.48780487804879,112.5,100.0,100.0,100.0,100.0,62.16216216216216
73,100.0,100.0,80.0,100.0,100.0,100.0,100.0,95.1219512195122,100.0,66.66666666666666,100.0,100.0,100.0,67.56756756756756
74,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,92.6829268292683,100.0,100.0,100.0,100.0,100.0,64.86486486486487
75,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,109.75609756097562,112.5,100.0,100.0,100.0,100.0,72.97297297297297
76,100.0,125.0,120.0,100.0,114.28571428571428,100.0,100.0,95.1219512195122,112.5,100.0,100.0,100.0,100.0,81.08108108108108
77,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,85.36585365853658,112.5,100.0,100.0,100.0,100.0,75.67567567567568
78,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,88.04878048780488,112.5,100.0,0.0,100.0,100.0,100.0
79,100.0,100.0,120.0,100.0,71.42857142857143,100.0,100.0,58.536585365853654,112.5,100.0,100.0,100.0,100.0,43.24324324324324
80,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.17073170731707,100.0,100.0,100.0,100.0,100.0,62.16216216216216
81,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,95.60975609756099,112.5,100.0,100.0,100.0,100.0,91.8918918918919
82,100.0,125.0,120.0,100.0,102.85714285714285,100.0,100.0,63.90243902439025,0.0,0.0,100.0,0.0,0.0,83.78378378378379
83,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,100.0,112.5,100.0,100.0,100.0,100.0,83.78378378378379
84,100.0,75.0,100.0,100.0,100.0,66.66666666666666,100.0,56.09756097560976,50.0,0.0,100.0,100.0,100.0,70.27027027027027
85,100.0,125.0,120.0,100.0,100.0,100.0,100.0,87.8048780487805,112.5,100.0,100.0,100.0,100.0,56.75675675675676
86,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,74.39024390243902,112.5,100.0,100.0,100.0,80.0,48.64864864864865
87,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,100.0,112.5,100.0,100.0,100.0,100.0,105.40540540540539
88,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,72.19512195121952,112.5,100.0,100.0,100.0,0.0,64.86486486486487
89,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,75.60975609756098,112.5,100.0,100.0,100.0,100.0,81.08108108108108
90,100.0,100.0,80.0,87.5,100.0,100.0,100.0,97.5609756097561,100.0,100.0,100.0,50.0,80.0,102.7027027027027
91,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,92.6829268292683,112.5,100.0,100.0,100.0,100.0,97.2972972972973
92,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,48.78048780487805,112.5,100.0,100.0,100.0,100.0,35.13513513513514
93,100.0,100.0,100.0,100.0,128.57142857142858,100.0,100.0,107.31707317073172,112.5,100.0,100.0,100.0,100.0,67.56756756756756
94,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,56.09756097560976,112.5,100.0,66.66666666666666,100.0,100.0,70.27027027027027
95,100.0,100.0,120.0,100.0,100.0,100.0,100.0,95.1219512195122,112.5,100.0,0.0,100.0,100.0,64.86486486486487
96,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,68.04878048780488,112.5,100.0,100.0,80.0,80.0,37.83783783783784
97,100.0,125.0,120.0,0.0,128.57142857142858,100.0,100.0,100.0,112.5,100.0,0.0,0.0,100.0,78.37837837837837
98,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,50.97560975609756,112.5,100.0,100.0,100.0,100.0,64.86486486486487
99,75.0,100.0,120.0,62.5,100.0,100.0,87.5,34.146341463414636,100.0,100.0,33.33333333333333,100.0,100.0,43.24324324324324
100,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,91.70731707317074,112.5,100.0,100.0,100.0,100.0,48.64864864864865
101,100.0,100.0,100.0,100.0,114.28571428571428,100.0,100.0,58.04878048780488,112.5,100.0,100.0,100.0,80.0,62.16216216216216
102,100.0,100.0,120.0,100.0,100.0,100.0,100.0,100.0,112.5,100.0,100.0,100.0,100.0,97.2972972972973
103,100.0,125.0,100.0,100.0,114.28571428571428,100.0,100.0,90.2439024390244,112.5,100.0,100.0,100.0,100.0,72.97297297297297
104,100.0,100.0,100.0,100.0,114.28571428571428,100.0,100.0,78.04878048780488,112.5,80.0,100.0,80.0,80.0,56.75675675675676
105,100.0,125.0,100.0,100.0,102.85714285714285,100.0,50.0,73.17073170731707,112.5,100.0,100.0,100.0,100.0,78.37837837837837
106,100.0,100.0,120.0,100.0,128.57142857142858,100.0,100.0,78.04878048780488,100.0,100.0,100.0,100.0,100.0,70.27027027027027
107,100.0,125.0,120.0,100.0,100.0,100.0,100.0,90.2439024390244,100.0,100.0,100.0,100.0,100.0,83.78378378378379
108,100.0,100.0,80.0,75.0,80.0,0.0,80.0,46.34146341463415,0.0,0.0,0.0,0.0,0.0,0.0
109,100.0,100.0,100.0,100.0,100.0,100.0,100.0,56.09756097560976,112.5,100.0,100.0,100.0,100.0,45.94594594594595
110,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,43.90243902439025,112.5,100.0,100.0,100.0,100.0,45.94594594594595
111,100.0,100.0,120.0,100.0,114.28571428571428,0.0,100.0,78.04878048780488,0.0,0.0,0.0,100.0,100.0,45.94594594594595
112,100.0,125.0,100.0,100.0,128.57142857142858,100.0,100.0,92.6829268292683,112.5,100.0,100.0,100.0,100.0,70.27027027027027
113,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,107.31707317073172,112.5,100.0,100.0,100.0,100.0,78.37837837837837
114,100.0,100.0,100.0,100.0,114.28571428571428,100.0,100.0,53.65853658536586,100.0,100.0,33.33333333333333,100.0,100.0,43.24324324324324
115,100.0,100.0,100.0,100.0,100.0,100.0,50.0,58.536585365853654,80.0,80.0,80.0,80.0,0.0,48.64864864864865
116,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,104.8780487804878,112.5,100.0,100.0,100.0,100.0,75.67567567567568
117,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,43.90243902439025,112.5,100.0,100.0,100.0,100.0,45.94594594594595
118,100.0,125.0,100.0,87.5,100.0,100.0,100.0,95.1219512195122,100.0,100.0,100.0,100.0,100.0,91.8918918918919
119,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,92.6829268292683,112.5,100.0,100.0,100.0,100.0,81.08108108108108
120,100.0,125.0,120.0,100.0,128.57142857142858,100.0,100.0,74.39024390243902,112.5,100.0,100.0,100.0,100.0,97.2972972972973
